Std Sec#,Section,Occurring LLT,Occurrences,PT,Section Code,LLT Code,PT Code,SPL Set ID,SPL Eff Date,SPL Ver,Trade Name,Generic/Proper Names,Product Names,Product Generic Names,Product NDCs,FDALabel URL,DailyMed URL
6.0,ADVERSE REACTIONS SECTION,Nervous,1,Nervousness,34084-4,10029197,10029216,c7d0b43c-7250-4809-8a05-fcde5862f076,20220726,14,"Adenovirus Type 4 and Type 7 Vaccine, Live","ADENOVIRUS TYPE 4 AND TYPE 7 VACCINE, LIVE","Adenovirus Type 4 and Type 7 Vaccine, Live","Adenovirus Type 4 and Type 7 Vaccine, Live",51285-138,https://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/c7d0b43c-7250-4809-8a05-fcde5862f076/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=c7d0b43c-7250-4809-8a05-fcde5862f076
6.0,ADVERSE REACTIONS SECTION,Pain in extremity,1,Pain in extremity,34084-4,10033425,10033425,c7d0b43c-7250-4809-8a05-fcde5862f076,20220726,14,"Adenovirus Type 4 and Type 7 Vaccine, Live","ADENOVIRUS TYPE 4 AND TYPE 7 VACCINE, LIVE","Adenovirus Type 4 and Type 7 Vaccine, Live","Adenovirus Type 4 and Type 7 Vaccine, Live",51285-138,https://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/c7d0b43c-7250-4809-8a05-fcde5862f076/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=c7d0b43c-7250-4809-8a05-fcde5862f076
6.0,ADVERSE REACTIONS SECTION,Pharyngolaryngeal pain,3,Laryngeal pain,34084-4,10034844,10023848,c7d0b43c-7250-4809-8a05-fcde5862f076,20220726,14,"Adenovirus Type 4 and Type 7 Vaccine, Live","ADENOVIRUS TYPE 4 AND TYPE 7 VACCINE, LIVE","Adenovirus Type 4 and Type 7 Vaccine, Live","Adenovirus Type 4 and Type 7 Vaccine, Live",51285-138,https://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/c7d0b43c-7250-4809-8a05-fcde5862f076/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=c7d0b43c-7250-4809-8a05-fcde5862f076
6.0,ADVERSE REACTIONS SECTION,Pyrexia,4,Pyrexia,34084-4,10037660,10037660,c7d0b43c-7250-4809-8a05-fcde5862f076,20220726,14,"Adenovirus Type 4 and Type 7 Vaccine, Live","ADENOVIRUS TYPE 4 AND TYPE 7 VACCINE, LIVE","Adenovirus Type 4 and Type 7 Vaccine, Live","Adenovirus Type 4 and Type 7 Vaccine, Live",51285-138,https://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/c7d0b43c-7250-4809-8a05-fcde5862f076/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=c7d0b43c-7250-4809-8a05-fcde5862f076
6.0,ADVERSE REACTIONS SECTION,Rhinorrhea,1,Rhinorrhoea,34084-4,10039100,10039101,c7d0b43c-7250-4809-8a05-fcde5862f076,20220726,14,"Adenovirus Type 4 and Type 7 Vaccine, Live","ADENOVIRUS TYPE 4 AND TYPE 7 VACCINE, LIVE","Adenovirus Type 4 and Type 7 Vaccine, Live","Adenovirus Type 4 and Type 7 Vaccine, Live",51285-138,https://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/c7d0b43c-7250-4809-8a05-fcde5862f076/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=c7d0b43c-7250-4809-8a05-fcde5862f076
6.0,ADVERSE REACTIONS SECTION,Sore throat,2,Oropharyngeal pain,34084-4,10041367,10068319,c7d0b43c-7250-4809-8a05-fcde5862f076,20220726,14,"Adenovirus Type 4 and Type 7 Vaccine, Live","ADENOVIRUS TYPE 4 AND TYPE 7 VACCINE, LIVE","Adenovirus Type 4 and Type 7 Vaccine, Live","Adenovirus Type 4 and Type 7 Vaccine, Live",51285-138,https://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/c7d0b43c-7250-4809-8a05-fcde5862f076/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=c7d0b43c-7250-4809-8a05-fcde5862f076
6.0,ADVERSE REACTIONS SECTION,Stomach pain,1,Abdominal pain upper,34084-4,10042112,10000087,c7d0b43c-7250-4809-8a05-fcde5862f076,20220726,14,"Adenovirus Type 4 and Type 7 Vaccine, Live","ADENOVIRUS TYPE 4 AND TYPE 7 VACCINE, LIVE","Adenovirus Type 4 and Type 7 Vaccine, Live","Adenovirus Type 4 and Type 7 Vaccine, Live",51285-138,https://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/c7d0b43c-7250-4809-8a05-fcde5862f076/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=c7d0b43c-7250-4809-8a05-fcde5862f076
6.0,ADVERSE REACTIONS SECTION,Strain,1,Muscle strain,34084-4,10042164,10050031,c7d0b43c-7250-4809-8a05-fcde5862f076,20220726,14,"Adenovirus Type 4 and Type 7 Vaccine, Live","ADENOVIRUS TYPE 4 AND TYPE 7 VACCINE, LIVE","Adenovirus Type 4 and Type 7 Vaccine, Live","Adenovirus Type 4 and Type 7 Vaccine, Live",51285-138,https://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/c7d0b43c-7250-4809-8a05-fcde5862f076/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=c7d0b43c-7250-4809-8a05-fcde5862f076
6.0,ADVERSE REACTIONS SECTION,Thigh abscess,1,Abscess limb,34084-4,10078806,10050473,c7d0b43c-7250-4809-8a05-fcde5862f076,20220726,14,"Adenovirus Type 4 and Type 7 Vaccine, Live","ADENOVIRUS TYPE 4 AND TYPE 7 VACCINE, LIVE","Adenovirus Type 4 and Type 7 Vaccine, Live","Adenovirus Type 4 and Type 7 Vaccine, Live",51285-138,https://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/c7d0b43c-7250-4809-8a05-fcde5862f076/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=c7d0b43c-7250-4809-8a05-fcde5862f076
6.0,ADVERSE REACTIONS SECTION,Upper respiratory infection,1,Upper respiratory tract infection,34084-4,10046300,10046306,c7d0b43c-7250-4809-8a05-fcde5862f076,20220726,14,"Adenovirus Type 4 and Type 7 Vaccine, Live","ADENOVIRUS TYPE 4 AND TYPE 7 VACCINE, LIVE","Adenovirus Type 4 and Type 7 Vaccine, Live","Adenovirus Type 4 and Type 7 Vaccine, Live",51285-138,https://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/c7d0b43c-7250-4809-8a05-fcde5862f076/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=c7d0b43c-7250-4809-8a05-fcde5862f076
